model,data,MAE_val,Pearsonr_val,MAE_cv,Pearsonr_cv
linreg,properties,1.203214578265514,0.6878538267059501,1.2231551802443217,0.6443195264252097
linreg,properties+morgan256,1.2771850094577917,0.6600266395852789,1.307015309619286,0.647834325946046
lasso02,properties,1.2268729738240194,0.677193150437351,1.2314396379830832,0.640130578101142
lasso02,properties+morgan256,1.1298974118520668,0.7475202453940798,1.1486056707083643,0.7036884070875473
RFreg,properties,1.1055753509029,0.7188060652431596,1.1064441421154452,0.6953936637972903
RFreg,properties+morgan256,1.0719153995558732,0.759642849896832,1.0334381419227834,0.741503806141762
SVR,properties,1.0396420729595857,0.7319225649018919,1.0870514565109202,0.6975862829019628
SVR,properties+morgan256,1.0837401957907722,0.7624096186104783,1.0762949677007079,0.7376181456333046
