,MAE_train,Pearsonr_train,MAE_val,Pearsonr_val,MAE_test,Pearsonr_test,MAE_cv
lasso02_morgan256,1.0541005958830876,0.7544061359078609,1.1298974118520668,0.7475202453940797,1.4855631971939494,0.5477998033318496,
rfreg_morgan256,0.39882681748911625,0.9740098084901131,1.0749357909710706,0.762646818838827,1.4318267761400132,0.5206048968991,
lasso_gridsearch,1.073390604510956,0.7406027632077219,1.0567805420092666,0.7882497718304334,1.45911067007503,0.5686176919729006,1.163534382765255
rfreg_gridsearch,0.38488120958571553,0.9790401361844826,0.38689375035051776,0.9814791774047158,1.3807894570595374,0.5748365540229746,1.0687304820571062
mlp_gridsearch,0.6163175106048584,0.9313491649536528,0.6036866903305054,0.938498226809259,1.564690113067627,0.5129465013746006,1.167947030067444
mlp_morgan256,0.9018122553825378,0.8273884468012926,0.9257416725158691,0.8313012400169868,1.483467698097229,0.5385990078599843,
mlp_morgan2048,0.8837922811508179,0.83658369391121,0.9155449867248535,0.8426772066845395,1.3970915079116821,0.5800404089545884,
