model,data,MAE_val,Pearsonr_val,MAE_cv,Pearsonr_cv
linreg,properties,1.5352926893707322,0.34872569106077095,1.5507892768497848,0.40235500175964634
linreg,properties+morgan256,1.64095733820741,0.3526920509135724,1.7054899359828295,0.38767301766760365
lasso02,properties,1.5384034439226966,0.3477040524536649,1.5536635642735148,0.3954410932746685
lasso02,properties+morgan256,1.5094082292710385,0.39560881300491824,1.5020395738557044,0.4709337584101394
RFreg,properties,1.4633668653953853,0.4185258427673412,1.4474335257282744,0.4919429656087708
RFreg,properties+morgan256,1.3783051866414409,0.49298943733823275,1.3347380114235567,0.592785709569555
SVR,properties,1.4702337009726143,0.3814561829953645,1.474074386441451,0.4553900477180801
SVR,properties+morgan256,1.408319197111002,0.4970948164825069,1.4080107796848174,0.5263174320988613
