,MAE_train,Pearsonr_train,MAE_val,Pearsonr_val,MAE_test,Pearsonr_test,MAE_cv
lasso02_morgan256,1.0541,0.7544,1.1299,0.7475,1.4856,0.5478,
rfreg_morgan256,0.3988,0.974,1.0749,0.7626,1.4318,0.5206,
lasso_gridsearch,1.0734,0.7406,1.0568,0.7882,1.4591,0.5686,1.1635
rfreg_gridsearch,0.3849,0.979,0.3869,0.9815,1.3808,0.5748,1.0687
mlp_gridsearch,0.6163,0.9313,0.6037,0.9385,1.5647,0.5129,1.1679
mlp_morgan256,0.9018,0.8274,0.9257,0.8313,1.4835,0.5386,
mlp_morgan2048,0.8838,0.8366,0.9155,0.8427,1.3971,0.58,
